id,ISO3166-2,pref,area1,area2,city,大雨警報,洪水警報,暴風警報,暴風雪警報,大雪警報,波浪警報,高潮警報,大雨注意報,洪水注意報,強風注意報,風雪注意報,大雪注意報,波浪注意報,高潮注意報,雷注意報,融雪注意報,濃霧注意報,乾燥注意報,なだれ注意報,低温注意報,霜注意報,着氷注意報,着雪注意報,lastUpdate,url
32701,JP-22,静岡県,中部,中部南,静岡市南部,,,,,,,,,,1,,,1,,,,,1,,1,,,,2021-01-10T04:08,https://www.jma.go.jp/jp/warn/327_table.html
32702,JP-22,静岡県,中部,中部南,島田市,,,,,,,,,,,,,,,,,,1,,1,,,,2021-01-10T04:08,https://www.jma.go.jp/jp/warn/327_table.html
32703,JP-22,静岡県,中部,中部南,焼津市,,,,,,,,,,1,,,1,,,,,1,,1,,,,2021-01-10T04:08,https://www.jma.go.jp/jp/warn/327_table.html
32704,JP-22,静岡県,中部,中部南,藤枝市,,,,,,,,,,,,,,,,,,1,,1,,,,2021-01-10T04:08,https://www.jma.go.jp/jp/warn/327_table.html
32705,JP-22,静岡県,中部,中部南,牧之原市,,,,,,,,,,1,,,1,,,,,1,,1,,,,2021-01-10T04:08,https://www.jma.go.jp/jp/warn/327_table.html
32706,JP-22,静岡県,中部,中部南,吉田町,,,,,,,,,,1,,,1,,,,,1,,1,,,,2021-01-10T04:08,https://www.jma.go.jp/jp/warn/327_table.html
32707,JP-22,静岡県,中部,中部北,静岡市北部,,,,,,,,,,,,,,,,,,1,,,,,,2021-01-10T04:08,https://www.jma.go.jp/jp/warn/327_table.html
32708,JP-22,静岡県,中部,中部北,川根本町,,,,,,,,,,,,,,,,,,1,,,,,,2021-01-10T04:08,https://www.jma.go.jp/jp/warn/327_table.html
32709,JP-22,静岡県,伊豆,伊豆北,熱海市,,,,,,,,,,,,,,,,,,1,,1,,,,2021-01-10T04:08,https://www.jma.go.jp/jp/warn/327_table.html
32710,JP-22,静岡県,伊豆,伊豆北,伊東市,,,,,,,,,,,,,,,,,,1,,1,,,,2021-01-10T04:08,https://www.jma.go.jp/jp/warn/327_table.html
32711,JP-22,静岡県,伊豆,伊豆北,伊豆市,,,,,,,,,,,,,,,,,,1,,1,,,,2021-01-10T04:08,https://www.jma.go.jp/jp/warn/327_table.html
32712,JP-22,静岡県,伊豆,伊豆北,伊豆の国市,,,,,,,,,,,,,,,,,,1,,1,,,,2021-01-10T04:08,https://www.jma.go.jp/jp/warn/327_table.html
32713,JP-22,静岡県,伊豆,伊豆北,函南町,,,,,,,,,,,,,,,,,,1,,1,,,,2021-01-10T04:08,https://www.jma.go.jp/jp/warn/327_table.html
32714,JP-22,静岡県,伊豆,伊豆南,下田市,,,,,,,,,,1,,,1,,,,,1,,,,,,2021-01-10T04:08,https://www.jma.go.jp/jp/warn/327_table.html
