id,ISO3166-2,pref,area1,area2,city,大雨警報,洪水警報,暴風警報,暴風雪警報,大雪警報,波浪警報,高潮警報,大雨注意報,洪水注意報,強風注意報,風雪注意報,大雪注意報,波浪注意報,高潮注意報,雷注意報,融雪注意報,濃霧注意報,乾燥注意報,なだれ注意報,低温注意報,霜注意報,着氷注意報,着雪注意報,lastUpdate,url
35601,JP-47,沖縄県,石垣島地方,石垣市,石垣市,,,,,,,,,,,,,1,,,,,,,,,,,2021-01-19T16:06,https://www.jma.go.jp/jp/warn/356_table.html
35602,JP-47,沖縄県,石垣島地方,竹富町,竹富町,,,,,,,,,,,,,1,,,,,,,,,,,2021-01-19T16:06,https://www.jma.go.jp/jp/warn/356_table.html
35603,JP-47,沖縄県,与那国島地方,与那国島地方,与那国町,,,,,,,,,,,,,,,,,,,,,,,,2021-01-19T16:06,https://www.jma.go.jp/jp/warn/356_table.html
