id,ISO3166-2,pref,area1,area2,city,大雨警報,洪水警報,暴風警報,暴風雪警報,大雪警報,波浪警報,高潮警報,大雨注意報,洪水注意報,強風注意報,風雪注意報,大雪注意報,波浪注意報,高潮注意報,雷注意報,融雪注意報,濃霧注意報,乾燥注意報,なだれ注意報,低温注意報,霜注意報,着氷注意報,着雪注意報,lastUpdate,url
35001,JP-44,大分県,中部,中部,大分市,,,,,,,,,,,,,,,,,,1,,,,,,2021-01-10T08:08,https://www.jma.go.jp/jp/warn/350_table.html
35002,JP-44,大分県,中部,中部,別府市,,,,,,,,,,,,,,,,,,1,,,,,,2021-01-10T08:08,https://www.jma.go.jp/jp/warn/350_table.html
35003,JP-44,大分県,中部,中部,臼杵市,,,,,,,,,,,,,,,,,,1,,,,,,2021-01-10T08:08,https://www.jma.go.jp/jp/warn/350_table.html
35004,JP-44,大分県,中部,中部,津久見市,,,,,,,,,,,,,,,,,,1,,,,,,2021-01-10T08:08,https://www.jma.go.jp/jp/warn/350_table.html
35005,JP-44,大分県,中部,中部,杵築市,,,,,,,,,,,,,,,,,,1,,,,,,2021-01-10T08:08,https://www.jma.go.jp/jp/warn/350_table.html
35006,JP-44,大分県,中部,中部,由布市,,,,,,,,,,,,,,,,,,1,,,,,,2021-01-10T08:08,https://www.jma.go.jp/jp/warn/350_table.html
35007,JP-44,大分県,中部,中部,日出町,,,,,,,,,,,,,,,,,,1,,,,,,2021-01-10T08:08,https://www.jma.go.jp/jp/warn/350_table.html
35008,JP-44,大分県,北部,北部,中津市,,,,,,,,,,,,,,,,,,1,,,,,,2021-01-10T08:08,https://www.jma.go.jp/jp/warn/350_table.html
35009,JP-44,大分県,北部,北部,豊後高田市,,,,,,,,,,,,1,,,,,,1,,,,,,2021-01-10T08:08,https://www.jma.go.jp/jp/warn/350_table.html
35010,JP-44,大分県,北部,北部,宇佐市,,,,,,,,,,,,,,,,,,1,,,,,,2021-01-10T08:08,https://www.jma.go.jp/jp/warn/350_table.html
35011,JP-44,大分県,北部,北部,国東市,,,,,,,,,,,,1,,,,,,1,,,,,,2021-01-10T08:08,https://www.jma.go.jp/jp/warn/350_table.html
35012,JP-44,大分県,北部,北部,姫島村,,,,,,,,,,,,1,,,,,,1,,,,,,2021-01-10T08:08,https://www.jma.go.jp/jp/warn/350_table.html
35013,JP-44,大分県,西部,日田玖珠,日田市,,,,,,,,,,,,,,,,,,1,,,,,,2021-01-10T08:08,https://www.jma.go.jp/jp/warn/350_table.html
35014,JP-44,大分県,西部,日田玖珠,九重町,,,,,,,,,,,,,,,,,,1,,,,,,2021-01-10T08:08,https://www.jma.go.jp/jp/warn/350_table.html
35015,JP-44,大分県,西部,日田玖珠,玖珠町,,,,,,,,,,,,,,,,,,1,,,,,,2021-01-10T08:08,https://www.jma.go.jp/jp/warn/350_table.html
35016,JP-44,大分県,西部,竹田市,竹田市,,,,,,,,,,,,,,,,,,1,,,,,,2021-01-10T08:08,https://www.jma.go.jp/jp/warn/350_table.html
35017,JP-44,大分県,南部,佐伯市,佐伯市,,,,,,,,,,,,,,,,,,1,,,,,,2021-01-10T08:08,https://www.jma.go.jp/jp/warn/350_table.html
35018,JP-44,大分県,南部,豊後大野市,豊後大野市,,,,,,,,,,,,,,,,,,1,,,,,,2021-01-10T08:08,https://www.jma.go.jp/jp/warn/350_table.html
