id,ISO3166-2,pref,area1,area2,city,大雨警報,洪水警報,暴風警報,暴風雪警報,大雪警報,波浪警報,高潮警報,大雨注意報,洪水注意報,強風注意報,風雪注意報,大雪注意報,波浪注意報,高潮注意報,雷注意報,融雪注意報,濃霧注意報,乾燥注意報,なだれ注意報,低温注意報,霜注意報,着氷注意報,着雪注意報,lastUpdate,url
33301,JP-26,京都府,南部,京都・亀岡,京都市,,,,,,,,,,,,,,,,,,,,,,,,2021-02-02T07:31,https://www.jma.go.jp/jp/warn/333_table.html
33302,JP-26,京都府,南部,京都・亀岡,亀岡市,,,,,,,,,,,,,,,,,,,,,,,,2021-02-02T07:31,https://www.jma.go.jp/jp/warn/333_table.html
33303,JP-26,京都府,南部,京都・亀岡,向日市,,,,,,,,,,,,,,,,,,,,,,,,2021-02-02T07:31,https://www.jma.go.jp/jp/warn/333_table.html
33304,JP-26,京都府,南部,京都・亀岡,長岡京市,,,,,,,,,,,,,,,,,,,,,,,,2021-02-02T07:31,https://www.jma.go.jp/jp/warn/333_table.html
33305,JP-26,京都府,南部,京都・亀岡,大山崎町,,,,,,,,,,,,,,,,,,,,,,,,2021-02-02T07:31,https://www.jma.go.jp/jp/warn/333_table.html
33306,JP-26,京都府,南部,南丹・京丹波,南丹市,,,,,,,,,,,,,,,,,,,,,,,,2021-02-02T07:31,https://www.jma.go.jp/jp/warn/333_table.html
33307,JP-26,京都府,南部,南丹・京丹波,京丹波町,,,,,,,,,,,,,,,,,,,,,,,,2021-02-02T07:31,https://www.jma.go.jp/jp/warn/333_table.html
33308,JP-26,京都府,南部,山城中部,宇治市,,,,,,,,,,,,,,,,,,,,,,,,2021-02-02T07:31,https://www.jma.go.jp/jp/warn/333_table.html
33309,JP-26,京都府,南部,山城中部,城陽市,,,,,,,,,,,,,,,,,,,,,,,,2021-02-02T07:31,https://www.jma.go.jp/jp/warn/333_table.html
33310,JP-26,京都府,南部,山城中部,八幡市,,,,,,,,,,,,,,,,,,,,,,,,2021-02-02T07:31,https://www.jma.go.jp/jp/warn/333_table.html
33311,JP-26,京都府,南部,山城中部,京田辺市,,,,,,,,,,,,,,,,,,,,,,,,2021-02-02T07:31,https://www.jma.go.jp/jp/warn/333_table.html
33312,JP-26,京都府,南部,山城中部,久御山町,,,,,,,,,,,,,,,,,,,,,,,,2021-02-02T07:31,https://www.jma.go.jp/jp/warn/333_table.html
33313,JP-26,京都府,南部,山城中部,井手町,,,,,,,,,,,,,,,,,,,,,,,,2021-02-02T07:31,https://www.jma.go.jp/jp/warn/333_table.html
33314,JP-26,京都府,南部,山城中部,宇治田原町,,,,,,,,,,,,,,,,,,,,,,,,2021-02-02T07:31,https://www.jma.go.jp/jp/warn/333_table.html
33315,JP-26,京都府,南部,山城南部,木津川市,,,,,,,,,,,,,,,,,,,,,,,,2021-02-02T07:31,https://www.jma.go.jp/jp/warn/333_table.html
33316,JP-26,京都府,南部,山城南部,笠置町,,,,,,,,,,,,,,,,,,,,,,,,2021-02-02T07:31,https://www.jma.go.jp/jp/warn/333_table.html
33317,JP-26,京都府,南部,山城南部,和束町,,,,,,,,,,,,,,,,,,,,,,,,2021-02-02T07:31,https://www.jma.go.jp/jp/warn/333_table.html
33318,JP-26,京都府,南部,山城南部,精華町,,,,,,,,,,,,,,,,,,,,,,,,2021-02-02T07:31,https://www.jma.go.jp/jp/warn/333_table.html
33319,JP-26,京都府,南部,山城南部,南山城村,,,,,,,,,,,,,,,,,,,,,,,,2021-02-02T07:31,https://www.jma.go.jp/jp/warn/333_table.html
33320,JP-26,京都府,北部,丹後,宮津市,,,,,,,,,,1,,,1,,,,,,,,,,,2021-02-02T07:31,https://www.jma.go.jp/jp/warn/333_table.html
33321,JP-26,京都府,北部,丹後,京丹後市,,,,,,,,,,1,,,1,,,,,,,,,,,2021-02-02T07:31,https://www.jma.go.jp/jp/warn/333_table.html
33322,JP-26,京都府,北部,丹後,伊根町,,,,,,,,,,1,,,1,,,,,,,,,,,2021-02-02T07:31,https://www.jma.go.jp/jp/warn/333_table.html
33323,JP-26,京都府,北部,丹後,与謝野町,,,,,,,,,,1,,,,,,,,,,,,,,2021-02-02T07:31,https://www.jma.go.jp/jp/warn/333_table.html
33324,JP-26,京都府,北部,舞鶴・綾部,舞鶴市,,,,,,,,,,1,,,1,,,,,,,,,,,2021-02-02T07:31,https://www.jma.go.jp/jp/warn/333_table.html
33325,JP-26,京都府,北部,舞鶴・綾部,綾部市,,,,,,,,,,1,,,,,,,,,,,,,,2021-02-02T07:31,https://www.jma.go.jp/jp/warn/333_table.html
33326,JP-26,京都府,北部,福知山,福知山市,,,,,,,,,,1,,,,,,,,,,,,,,2021-02-02T07:31,https://www.jma.go.jp/jp/warn/333_table.html
