id,ISO3166-2,pref,area1,area2,city,大雨警報,洪水警報,暴風警報,暴風雪警報,大雪警報,波浪警報,高潮警報,大雨注意報,洪水注意報,強風注意報,風雪注意報,大雪注意報,波浪注意報,高潮注意報,雷注意報,融雪注意報,濃霧注意報,乾燥注意報,なだれ注意報,低温注意報,霜注意報,着氷注意報,着雪注意報,lastUpdate,url
34801,JP-42,長崎県,南部,島原半島,島原市,,,,,,,,,,1,,,,,,,,,,,,,,2021-02-02T10:16,https://www.jma.go.jp/jp/warn/348_table.html
34802,JP-42,長崎県,南部,島原半島,雲仙市,,,,,,,,,,1,,,,,,,,,,,,,,2021-02-02T10:16,https://www.jma.go.jp/jp/warn/348_table.html
34803,JP-42,長崎県,南部,島原半島,南島原市,,,,,,,,,,1,,,,,,,,,,,,,,2021-02-02T10:16,https://www.jma.go.jp/jp/warn/348_table.html
34804,JP-42,長崎県,南部,長崎地区,長崎市,,,,,,,,,,1,,,1,,,,,,,,,,,2021-02-02T10:16,https://www.jma.go.jp/jp/warn/348_table.html
34805,JP-42,長崎県,南部,長崎地区,長与町,,,,,,,,,,1,,,,,,,,,,,,,,2021-02-02T10:16,https://www.jma.go.jp/jp/warn/348_table.html
34806,JP-42,長崎県,南部,長崎地区,時津町,,,,,,,,,,1,,,,,,,,,,,,,,2021-02-02T10:16,https://www.jma.go.jp/jp/warn/348_table.html
34807,JP-42,長崎県,南部,諫早・大村地区,諫早市,,,,,,,,,,1,,,,,,,,,,,,,,2021-02-02T10:16,https://www.jma.go.jp/jp/warn/348_table.html
34808,JP-42,長崎県,南部,諫早・大村地区,大村市,,,,,,,,,,1,,,,,,,,,,,,,,2021-02-02T10:16,https://www.jma.go.jp/jp/warn/348_table.html
34809,JP-42,長崎県,南部,西彼杵半島,西海市（江島・平島を除く）,,,,,,,,,,1,,,,,,,,,,,,,,2021-02-02T10:16,https://www.jma.go.jp/jp/warn/348_table.html
34810,JP-42,長崎県,北部,平戸・松浦地区,平戸市,,,,,,,,,,1,,,1,,,,,,,,,,,2021-02-02T10:16,https://www.jma.go.jp/jp/warn/348_table.html
34811,JP-42,長崎県,北部,平戸・松浦地区,松浦市,,,,,,,,,,1,,,1,,,,,,,,,,,2021-02-02T10:16,https://www.jma.go.jp/jp/warn/348_table.html
34812,JP-42,長崎県,北部,佐世保・東彼地区,佐世保市（宇久地域を除く）,,,,,,,,,,1,,,,,,,,,,,,,,2021-02-02T10:16,https://www.jma.go.jp/jp/warn/348_table.html
34813,JP-42,長崎県,北部,佐世保・東彼地区,東彼杵町,,,,,,,,,,1,,,,,,,,,,,,,,2021-02-02T10:16,https://www.jma.go.jp/jp/warn/348_table.html
34814,JP-42,長崎県,北部,佐世保・東彼地区,川棚町,,,,,,,,,,1,,,,,,,,,,,,,,2021-02-02T10:16,https://www.jma.go.jp/jp/warn/348_table.html
34815,JP-42,長崎県,北部,佐世保・東彼地区,波佐見町,,,,,,,,,,,,,,,,,,,,,,,,2021-02-02T10:16,https://www.jma.go.jp/jp/warn/348_table.html
34816,JP-42,長崎県,北部,佐世保・東彼地区,佐々町,,,,,,,,,,1,,,,,,,,,,,,,,2021-02-02T10:16,https://www.jma.go.jp/jp/warn/348_table.html
34817,JP-42,長崎県,壱岐・対馬,壱岐,壱岐市,,,,,,,,,,1,,,1,,,,,,,,,,,2021-02-02T10:16,https://www.jma.go.jp/jp/warn/348_table.html
34818,JP-42,長崎県,壱岐・対馬,上対馬,上対馬,,,,,,,,,,1,,,1,,,,,,,,,,,2021-02-02T10:16,https://www.jma.go.jp/jp/warn/348_table.html
34819,JP-42,長崎県,壱岐・対馬,下対馬,下対馬,,,,,,,,,,1,,,1,,,,,,,,,,,2021-02-02T10:16,https://www.jma.go.jp/jp/warn/348_table.html
34820,JP-42,長崎県,五島,上五島,佐世保市（宇久地域）,,,,,,,,,,1,,,1,,,,,,,,,,,2021-02-02T10:16,https://www.jma.go.jp/jp/warn/348_table.html
34821,JP-42,長崎県,五島,上五島,西海市（江島・平島）,,,,,,,,,,1,,,1,,,,,,,,,,,2021-02-02T10:16,https://www.jma.go.jp/jp/warn/348_table.html
34822,JP-42,長崎県,五島,上五島,小値賀町,,,,,,,,,,1,,,1,,,,,,,,,,,2021-02-02T10:16,https://www.jma.go.jp/jp/warn/348_table.html
34823,JP-42,長崎県,五島,上五島,新上五島町,,,,,,,,,,1,,,1,,,,,,,,,,,2021-02-02T10:16,https://www.jma.go.jp/jp/warn/348_table.html
34824,JP-42,長崎県,五島,下五島,五島市,,,,,,,,,,1,,,1,,,,,,,,,,,2021-02-02T10:16,https://www.jma.go.jp/jp/warn/348_table.html
