id,ISO3166-2,pref,area1,area2,city,大雨警報,洪水警報,暴風警報,暴風雪警報,大雪警報,波浪警報,高潮警報,大雨注意報,洪水注意報,強風注意報,風雪注意報,大雪注意報,波浪注意報,高潮注意報,雷注意報,融雪注意報,濃霧注意報,乾燥注意報,なだれ注意報,低温注意報,霜注意報,着氷注意報,着雪注意報,lastUpdate,url
34701,JP-41,佐賀県,南部,佐賀多久地区,佐賀市,,,,,,,,,,1,,,,,,,,,,,,,,2021-01-18T06:32,https://www.jma.go.jp/jp/warn/347_table.html
34702,JP-41,佐賀県,南部,佐賀多久地区,多久市,,,,,,,,,,1,,,,,,,,,,,,,,2021-01-18T06:32,https://www.jma.go.jp/jp/warn/347_table.html
34703,JP-41,佐賀県,南部,佐賀多久地区,小城市,,,,,,,,,,1,,,,,,,,,,,,,,2021-01-18T06:32,https://www.jma.go.jp/jp/warn/347_table.html
34704,JP-41,佐賀県,南部,鳥栖地区,鳥栖市,,,,,,,,,,1,,,,,,,,,,,,,,2021-01-18T06:32,https://www.jma.go.jp/jp/warn/347_table.html
34705,JP-41,佐賀県,南部,鳥栖地区,神埼市,,,,,,,,,,1,,,,,,,,,,,,,,2021-01-18T06:32,https://www.jma.go.jp/jp/warn/347_table.html
34706,JP-41,佐賀県,南部,鳥栖地区,吉野ヶ里町,,,,,,,,,,1,,,,,,,,,,,,,,2021-01-18T06:32,https://www.jma.go.jp/jp/warn/347_table.html
34707,JP-41,佐賀県,南部,鳥栖地区,基山町,,,,,,,,,,1,,,,,,,,,,,,,,2021-01-18T06:32,https://www.jma.go.jp/jp/warn/347_table.html
34708,JP-41,佐賀県,南部,鳥栖地区,上峰町,,,,,,,,,,1,,,,,,,,,,,,,,2021-01-18T06:32,https://www.jma.go.jp/jp/warn/347_table.html
34709,JP-41,佐賀県,南部,鳥栖地区,みやき町,,,,,,,,,,1,,,,,,,,,,,,,,2021-01-18T06:32,https://www.jma.go.jp/jp/warn/347_table.html
34710,JP-41,佐賀県,南部,武雄地区,武雄市,,,,,,,,,,1,,,,,,,,,,,,,,2021-01-18T06:32,https://www.jma.go.jp/jp/warn/347_table.html
34711,JP-41,佐賀県,南部,武雄地区,大町町,,,,,,,,,,1,,,,,,,,,,,,,,2021-01-18T06:32,https://www.jma.go.jp/jp/warn/347_table.html
34712,JP-41,佐賀県,南部,武雄地区,江北町,,,,,,,,,,1,,,,,,,,,,,,,,2021-01-18T06:32,https://www.jma.go.jp/jp/warn/347_table.html
34713,JP-41,佐賀県,南部,武雄地区,白石町,,,,,,,,,,1,,,,,,,,,,,,,,2021-01-18T06:32,https://www.jma.go.jp/jp/warn/347_table.html
34714,JP-41,佐賀県,南部,鹿島地区,鹿島市,,,,,,,,,,1,,,,,,,,,,,,,,2021-01-18T06:32,https://www.jma.go.jp/jp/warn/347_table.html
34715,JP-41,佐賀県,南部,鹿島地区,嬉野市,,,,,,,,,,1,,,,,,,,,,,,,,2021-01-18T06:32,https://www.jma.go.jp/jp/warn/347_table.html
34716,JP-41,佐賀県,南部,鹿島地区,太良町,,,,,,,,,,1,,,,,,,,,,,,,,2021-01-18T06:32,https://www.jma.go.jp/jp/warn/347_table.html
34717,JP-41,佐賀県,北部,唐津地区,唐津市,,,,,,,,,,1,,,1,,,,,,,,,,,2021-01-18T06:32,https://www.jma.go.jp/jp/warn/347_table.html
34718,JP-41,佐賀県,北部,唐津地区,玄海町,,,,,,,,,,1,,,1,,,,,,,,,,,2021-01-18T06:32,https://www.jma.go.jp/jp/warn/347_table.html
34719,JP-41,佐賀県,北部,伊万里地区,伊万里市,,,,,,,,,,1,,,,,,,,,,,,,,2021-01-18T06:32,https://www.jma.go.jp/jp/warn/347_table.html
34720,JP-41,佐賀県,北部,伊万里地区,有田町,,,,,,,,,,1,,,,,,,,,,,,,,2021-01-18T06:32,https://www.jma.go.jp/jp/warn/347_table.html
