id,ISO3166-2,pref,area1,area2,city,大雨警報,洪水警報,暴風警報,暴風雪警報,大雪警報,波浪警報,高潮警報,大雨注意報,洪水注意報,強風注意報,風雪注意報,大雪注意報,波浪注意報,高潮注意報,雷注意報,融雪注意報,濃霧注意報,乾燥注意報,なだれ注意報,低温注意報,霜注意報,着氷注意報,着雪注意報,lastUpdate,url
34101,JP-37,香川県,香川県,高松地域,高松市,,,,,,,,,,,,,,,,,,1,,,,,,2021-01-09T18:41,https://www.jma.go.jp/jp/warn/341_table.html
34102,JP-37,香川県,香川県,高松地域,直島町,,,,,,,,,,,,,,,,,,1,,,,,,2021-01-09T18:41,https://www.jma.go.jp/jp/warn/341_table.html
34103,JP-37,香川県,香川県,小豆,土庄町,,,,,,,,,,,,,,,,,,1,,,,,,2021-01-09T18:41,https://www.jma.go.jp/jp/warn/341_table.html
34104,JP-37,香川県,香川県,小豆,小豆島町,,,,,,,,,,,,,,,,,,1,,,,,,2021-01-09T18:41,https://www.jma.go.jp/jp/warn/341_table.html
34105,JP-37,香川県,香川県,東讃,さぬき市,,,,,,,,,,,,,,,,,,1,,,,,,2021-01-09T18:41,https://www.jma.go.jp/jp/warn/341_table.html
34106,JP-37,香川県,香川県,東讃,東かがわ市,,,,,,,,,,,,,,,,,,1,,,,,,2021-01-09T18:41,https://www.jma.go.jp/jp/warn/341_table.html
34107,JP-37,香川県,香川県,東讃,三木町,,,,,,,,,,,,,,,,,,1,,,,,,2021-01-09T18:41,https://www.jma.go.jp/jp/warn/341_table.html
34108,JP-37,香川県,香川県,中讃,丸亀市,,,,,,,,,,,,,,,,,,1,,,,,,2021-01-09T18:41,https://www.jma.go.jp/jp/warn/341_table.html
34109,JP-37,香川県,香川県,中讃,坂出市,,,,,,,,,,,,,,,,,,1,,,,,,2021-01-09T18:41,https://www.jma.go.jp/jp/warn/341_table.html
34110,JP-37,香川県,香川県,中讃,善通寺市,,,,,,,,,,,,,,,,,,1,,,,,,2021-01-09T18:41,https://www.jma.go.jp/jp/warn/341_table.html
34111,JP-37,香川県,香川県,中讃,宇多津町,,,,,,,,,,,,,,,,,,1,,,,,,2021-01-09T18:41,https://www.jma.go.jp/jp/warn/341_table.html
34112,JP-37,香川県,香川県,中讃,綾川町,,,,,,,,,,,,,,,,,,1,,,,,,2021-01-09T18:41,https://www.jma.go.jp/jp/warn/341_table.html
34113,JP-37,香川県,香川県,中讃,琴平町,,,,,,,,,,,,,,,,,,1,,,,,,2021-01-09T18:41,https://www.jma.go.jp/jp/warn/341_table.html
34114,JP-37,香川県,香川県,中讃,多度津町,,,,,,,,,,,,,,,,,,1,,,,,,2021-01-09T18:41,https://www.jma.go.jp/jp/warn/341_table.html
34115,JP-37,香川県,香川県,中讃,まんのう町,,,,,,,,,,,,,,,,,,1,,,,,,2021-01-09T18:41,https://www.jma.go.jp/jp/warn/341_table.html
34116,JP-37,香川県,香川県,西讃,観音寺市,,,,,,,,,,,,,,,,,,1,,,,,,2021-01-09T18:41,https://www.jma.go.jp/jp/warn/341_table.html
34117,JP-37,香川県,香川県,西讃,三豊市,,,,,,,,,,,,,,,,,,1,,,,,,2021-01-09T18:41,https://www.jma.go.jp/jp/warn/341_table.html
